year,term,term_class_code,batch,training_type_code,training_type_name,start_date,end_date
100,070,10070A,A,1,普通小型車班,2011/10/11,2011/11/14
100,070,10070B,B,1,普通小型車班,2011/10/27,2011/11/30
101,078,10078A,A,1,普通小型車班,2012/7/17,2012/8/20
102,083,10083A,A,1,普通小型車班,2013/1/8,2013/2/11
102,083,10083B,B,1,普通小型車班,2013/1/24,2013/2/27
102,084,10084A,A,1,普通小型車班,2013/2/12,2013/3/18
102,084,10084B,B,1,普通小型車班,2013/2/28,2013/4/3
102,085,10085A,A,1,普通小型車班,2013/3/19,2013/4/22
102,085,10085B,B,1,普通小型車班,2013/4/4,2013/5/8
102,086,10086A,A,1,普通小型車班,2013/4/23,2013/5/27
102,086,10086B,B,1,普通小型車班,2013/5/9,2013/6/12
102,087,10087A,A,1,普通小型車班,2013/5/28,2013/7/1
102,087,10087B,B,1,普通小型車班,2013/6/13,2013/7/17
102,088,10088A,A,1,普通小型車班,2013/7/2,2013/8/5
102,088,10088B,B,1,普通小型車班,2013/7/18,2013/8/21
102,089,10089A,A,1,普通小型車班,2013/8/6,2013/9/9
102,089,10089B,B,1,普通小型車班,2013/8/22,2013/9/25
102,090,10090A,A,1,普通小型車班,2013/9/10,2013/10/14
102,090,10090B,B,1,普通小型車班,2013/9/26,2013/10/30
102,091,10091A,A,1,普通小型車班,2013/10/15,2013/11/18
102,091,10091B,B,1,普通小型車班,2013/10/31,2013/12/4
102,092,10092A,A,1,普通小型車班,2013/11/19,2013/12/23
102,092,10092B,B,1,普通小型車班,2013/12/5,2014/1/8
102,093,10093A,A,1,普通小型車班,2013/12/24,2014/1/27
103,093,10093B,B,1,普通小型車班,2014/1/9,2014/2/12
103,094,10094A,A,1,普通小型車班,2014/1/28,2014/3/3
103,094,10094B,B,1,普通小型車班,2014/2/13,2014/3/19
103,095,10095A,A,1,普通小型車班,2014/3/4,2014/4/7
103,095,10095B,B,1,普通小型車班,2014/3/20,2014/4/23
103,096,10096A,A,1,普通小型車班,2014/4/8,2014/5/12
103,096,10096B,B,1,普通小型車班,2014/4/24,2014/5/28
103,097,10097A,A,1,普通小型車班,2014/5/13,2014/6/16
103,097,10097B,B,1,普通小型車班,2014/5/29,2014/7/2
103,098,10098A,A,1,普通小型車班,2014/6/17,2014/7/21
103,098,10098B,B,1,普通小型車班,2014/7/3,2014/8/6
103,099,10099A,A,1,普通小型車班,2014/7/22,2014/8/25
103,099,10099B,B,1,普通小型車班,2014/8/7,2014/9/10
103,100,10100A,A,1,普通小型車班,2014/8/26,2014/9/29
103,100,10100B,B,1,普通小型車班,2014/9/11,2014/10/15
103,101,10101A,A,1,普通小型車班,2014/9/30,2014/11/3
103,101,10101B,B,1,普通小型車班,2014/10/16,2014/11/19
103,102,10102A,A,1,普通小型車班,2014/11/4,2014/12/8
103,102,10102B,B,1,普通小型車班,2014/11/20,2014/12/24
103,103,10103A,A,1,普通小型車班,2014/12/9,2015/1/12
103,103,10103B,B,1,普通小型車班,2014/12/25,2015/1/28
104,104,10104A,A,1,普通小型車班,2015/1/13,2015/2/16
104,104,10104B,B,1,普通小型車班,2015/1/29,2015/3/4
104,105,10105A,A,1,普通小型車班,2015/2/17,2015/3/23
104,105,10105B,B,1,普通小型車班,2015/3/5,2015/4/8
104,106,10106A,A,1,普通小型車班,2015/3/24,2015/4/27
104,106,10106B,B,1,普通小型車班,2015/4/9,2015/5/13
104,107,10107A,A,1,普通小型車班,2015/4/28,2015/6/1
104,107,10107B,B,1,普通小型車班,2015/5/14,2015/6/17
104,108,10108A,A,1,普通小型車班,2015/6/2,2015/7/6
104,108,10108B,B,1,普通小型車班,2015/6/18,2015/7/22
104,109,10109A,A,1,普通小型車班,2015/7/7,2015/8/10
104,109,10109B,B,1,普通小型車班,2015/7/23,2015/8/26
104,110,10110A,A,1,普通小型車班,2015/8/11,2015/9/14
104,110,10110B,B,1,普通小型車班,2015/8/27,2015/9/30
104,111,10111A,A,1,普通小型車班,2015/9/15,2015/10/19
104,111,10111B,B,1,普通小型車班,2015/10/1,2015/11/4
104,112,10112A,A,1,普通小型車班,2015/10/20,2015/11/23
104,112,10112B,B,1,普通小型車班,2015/11/5,2015/12/9
104,113,10113A,A,1,普通小型車班,2015/11/24,2015/12/28
104,113,10113B,B,1,普通小型車班,2015/12/10,2016/1/13
104,114,10114A,A,1,普通小型車班,2015/12/29,2016/2/1
105,114,10114B,B,1,普通小型車班,2016/1/14,2016/2/17
105,115,10115A,A,1,普通小型車班,2016/2/2,2016/3/7
105,115,10115B,B,1,普通小型車班,2016/2/18,2016/3/23
105,116,10116A,A,1,普通小型車班,2016/3/8,2016/4/11
105,116,10116B,B,1,普通小型車班,2016/3/24,2016/4/27
105,117,10117A,A,1,普通小型車班,2016/4/12,2016/5/16
105,117,10117B,B,1,普通小型車班,2016/4/28,2016/6/1
105,118,10118A,A,1,普通小型車班,2016/5/17,2016/6/20
105,118,10118B,B,1,普通小型車班,2016/6/2,2016/7/6
105,119,10119A,A,1,普通小型車班,2016/6/21,2016/7/25
105,119,10119B,B,1,普通小型車班,2016/7/7,2016/8/10
105,120,10120A,A,1,普通小型車班,2016/7/26,2016/8/29
105,120,10120B,B,1,普通小型車班,2016/8/11,2016/9/14
105,121,10121A,A,1,普通小型車班,2016/8/30,2016/10/3
105,121,10121B,B,1,普通小型車班,2016/9/15,2016/10/19
105,122,10122A,A,1,普通小型車班,2016/10/4,2016/11/7
105,122,10122B,B,1,普通小型車班,2016/10/20,2016/11/23
105,123,10123A,A,1,普通小型車班,2016/11/8,2016/12/12
105,123,10123B,B,1,普通小型車班,2016/11/24,2016/12/28
105,124,10124A,A,1,普通小型車班,2016/12/13,2017/1/16
105,124,10124B,B,1,普通小型車班,2016/12/29,2017/2/1
106,125,10125A,A,1,普通小型車班,2017/1/17,2017/2/20
106,125,10125B,B,1,普通小型車班,2017/2/2,2017/3/8
106,126,10126A,A,1,普通小型車班,2017/2/21,2017/3/27
106,126,10126B,B,1,普通小型車班,2017/3/9,2017/4/12
106,127,10127A,A,1,普通小型車班,2017/3/28,2017/5/1
106,127,10127B,B,1,普通小型車班,2017/4/13,2017/5/17
106,128,10128A,A,1,普通小型車班,2017/5/2,2017/6/5
106,128,10128B,B,1,普通小型車班,2017/5/18,2017/6/21
106,129,10129A,A,1,普通小型車班,2017/6/6,2017/7/10
106,129,10129B,B,1,普通小型車班,2017/6/22,2017/7/26
106,130,10130A,A,1,普通小型車班,2017/7/11,2017/8/14
106,130,10130B,B,1,普通小型車班,2017/7/27,2017/8/30
106,131,10131A,A,1,普通小型車班,2017/8/15,2017/9/18
106,131,10131B,B,1,普通小型車班,2017/8/31,2017/10/4
106,132,10132A,A,1,普通小型車班,2017/9/19,2017/10/23
106,132,10132B,B,1,普通小型車班,2017/10/5,2017/11/8
106,133,10133A,A,1,普通小型車班,2017/10/24,2017/11/27
106,133,10133B,B,1,普通小型車班,2017/11/9,2017/12/13
106,134,10134A,A,1,普通小型車班,2017/11/28,2018/1/1
106,134,10134B,B,1,普通小型車班,2017/12/14,2018/1/17
107,135,10135A,A,1,普通小型車班,2018/1/2,2018/2/5
107,135,10135B,B,1,普通小型車班,2018/1/18,2018/2/21
107,136,10136A,A,1,普通小型車班,2018/2/6,2018/3/12
107,136,10136B,B,1,普通小型車班,2018/2/22,2018/3/28
107,137,10137A,A,1,普通小型車班,2018/3/13,2018/4/16
107,137,10137B,B,1,普通小型車班,2018/3/29,2018/5/2
107,138,10138A,A,1,普通小型車班,2018/4/17,2018/5/21
107,138,10138B,B,1,普通小型車班,2018/5/3,2018/6/6
107,139,10139A,A,1,普通小型車班,2018/5/22,2018/6/25
107,139,10139B,B,1,普通小型車班,2018/6/7,2018/7/11
107,140,10140A,A,1,普通小型車班,2018/6/26,2018/7/30
107,140,10140B,B,1,普通小型車班,2018/7/12,2018/8/15
107,141,10141A,A,1,普通小型車班,2018/7/31,2018/9/3
107,141,10141B,B,1,普通小型車班,2018/8/16,2018/9/19
107,142,10142A,A,1,普通小型車班,2018/9/4,2018/10/8
107,142,10142B,B,1,普通小型車班,2018/9/20,2018/10/24
107,143,10143A,A,1,普通小型車班,2018/10/9,2018/11/12
107,143,10143B,B,1,普通小型車班,2018/10/25,2018/11/28
107,144,10144A,A,1,普通小型車班,2018/11/13,2018/12/17
107,144,10144B,B,1,普通小型車班,2018/11/29,2019/1/2
107,145,10145A,A,1,普通小型車班,2018/12/18,2019/1/21
108,145,10145B,B,1,普通小型車班,2019/1/3,2019/2/6
108,146,10146A,A,1,普通小型車班,2019/1/22,2019/2/25
108,146,10146B,B,1,普通小型車班,2019/2/7,2019/3/13
108,147,10147A,A,1,普通小型車班,2019/2/26,2019/4/1
108,147,10147B,B,1,普通小型車班,2019/3/14,2019/4/17
108,148,10148A,A,1,普通小型車班,2019/4/2,2019/5/6
108,148,10148B,B,1,普通小型車班,2019/4/18,2019/5/22
108,149,10149A,A,1,普通小型車班,2019/5/7,2019/6/10
108,149,10149B,B,1,普通小型車班,2019/5/23,2019/6/26
108,150,10150A,A,1,普通小型車班,2019/6/11,2019/7/15
108,150,10150B,B,1,普通小型車班,2019/6/27,2019/7/31
108,151,10151A,A,1,普通小型車班,2019/7/16,2019/8/19
108,151,10151B,B,1,普通小型車班,2019/8/1,2019/9/4
108,152,10152A,A,1,普通小型車班,2019/8/20,2019/9/23
108,152,10152B,B,1,普通小型車班,2019/9/5,2019/10/9
108,153,10153A,A,1,普通小型車班,2019/9/24,2019/10/28
108,153,10153B,B,1,普通小型車班,2019/10/10,2019/11/13
108,154,10154A,A,1,普通小型車班,2019/10/29,2019/12/2
108,154,10154B,B,1,普通小型車班,2019/11/14,2019/12/18
108,155,10155A,A,1,普通小型車班,2019/12/3,2020/1/6
108,155,10155B,B,1,普通小型車班,2019/12/19,2020/1/22
109,156,10156A,A,1,普通小型車班,2020/1/7,2020/2/10
109,156,10156B,B,1,普通小型車班,2020/1/23,2020/2/26
109,157,10157A,A,1,普通小型車班,2020/2/11,2020/3/16
109,157,10157B,B,1,普通小型車班,2020/2/27,2020/4/1
109,158,10158A,A,1,普通小型車班,2020/3/17,2020/4/20
109,158,10158B,B,1,普通小型車班,2020/4/2,2020/5/6
109,159,10159A,A,1,普通小型車班,2020/4/21,2020/5/25
109,159,10159B,B,1,普通小型車班,2020/5/7,2020/6/10
109,160,10160A,A,1,普通小型車班,2020/5/26,2020/6/29
109,160,10160B,B,1,普通小型車班,2020/6/11,2020/7/15
109,161,10161A,A,1,普通小型車班,2020/6/30,2020/8/3
109,161,10161B,B,1,普通小型車班,2020/7/16,2020/8/19
109,162,10162A,A,1,普通小型車班,2020/8/4,2020/9/7
109,162,10162B,B,1,普通小型車班,2020/8/20,2020/9/23
109,163,10163A,A,1,普通小型車班,2020/9/8,2020/10/12
109,163,10163B,B,1,普通小型車班,2020/9/24,2020/10/28
109,164,10164A,A,1,普通小型車班,2020/10/13,2020/11/16
109,164,10164B,B,1,普通小型車班,2020/10/29,2020/12/2
109,165,10165A,A,1,普通小型車班,2020/11/17,2020/12/21
109,165,10165B,B,1,普通小型車班,2020/12/3,2021/1/6
109,166,10166A,A,1,普通小型車班,2020/12/22,2021/1/25
110,166,10166B,B,1,普通小型車班,2021/1/7,2021/2/10
110,167,10167A,A,1,普通小型車班,2021/1/26,2021/3/1
110,167,10167B,B,1,普通小型車班,2021/2/11,2021/3/17
110,168,10168A,A,1,普通小型車班,2021/3/2,2021/4/5
110,168,10168B,B,1,普通小型車班,2021/3/18,2021/4/21
110,169,10169A,A,1,普通小型車班,2021/4/6,2021/5/10
110,169,10169B,B,1,普通小型車班,2021/4/22,2021/7/24
110,170,10170A,A,1,普通小型車班,2021/5/11,2021/8/12
110,170,10170B,B,1,普通小型車班,2021/7/25,2021/8/28
110,171,10171A,A,1,普通小型車班,2021/8/13,2021/9/16
110,171,10171B,B,1,普通小型車班,2021/8/29,2021/10/2
110,172,10172A,A,1,普通小型車班,2021/9/17,2021/10/21
110,172,10172B,B,1,普通小型車班,2021/10/3,2021/11/6
110,173,10173A,A,1,普通小型車班,2021/10/22,2021/11/25
110,173,10173B,B,1,普通小型車班,2021/11/7,2021/12/11
110,174,10174A,A,1,普通小型車班,2021/11/26,2021/12/30
110,174,10174B,B,1,普通小型車班,2021/12/12,2022/1/15
110,175,10175A,A,1,普通小型車班,2021/12/31,2022/2/3
111,175,10175B,B,1,普通小型車班,2022/1/18,2022/2/21
111,176,10176A,A,1,普通小型車班,2022/2/4,2022/3/10
111,176,10176B,B,1,普通小型車班,2022/2/22,2022/3/28
111,177,10177A,A,1,普通小型車班,2022/3/11,2022/4/14
111,177,10177B,B,1,普通小型車班,2022/3/29,2022/5/2
111,178,10178A,A,1,普通小型車班,2022/4/15,2022/5/19
111,178,10178B,B,1,普通小型車班,2022/5/3,2022/6/6
111,179,10179A,A,1,普通小型車班,2022/5/20,2022/6/23
111,179,10179B,B,1,普通小型車班,2022/6/7,2022/7/11
111,180,10180A,A,1,普通小型車班,2022/6/24,2022/7/28
111,180,10180B,B,1,普通小型車班,2022/7/12,2022/8/15
111,181,10181A,A,1,普通小型車班,2022/7/29,2022/9/1
111,181,10181B,B,1,普通小型車班,2022/8/16,2022/9/19
111,182,10182A,A,1,普通小型車班,2022/9/2,2022/10/6
111,182,10182B,B,1,普通小型車班,2022/9/20,2022/10/24
111,183,10183A,A,1,普通小型車班,2022/10/7,2022/11/10
111,183,10183B,B,1,普通小型車班,2022/10/25,2022/11/28
111,184,10184A,A,1,普通小型車班,2022/11/11,2022/12/15
111,184,10184B,B,1,普通小型車班,2022/11/29,2023/1/2
111,185,10185A,A,1,普通小型車班,2022/12/16,2023/1/19
112,185,10185B,B,1,普通小型車班,2023/1/3,2023/2/6
112,186,10186A,A,1,普通小型車班,2023/1/20,2023/2/23
112,186,10186B,B,1,普通小型車班,2023/2/7,2023/3/13
112,187,10187A,A,1,普通小型車班,2023/2/24,2023/3/30
112,187,10187B,B,1,普通小型車班,2023/3/14,2023/4/17
112,188,10188A,A,1,普通小型車班,2023/3/31,2023/5/4
112,188,10188B,B,1,普通小型車班,2023/4/18,2023/5/22
112,189,10189A,A,1,普通小型車班,2023/5/5,2023/6/8
112,189,10189B,B,1,普通小型車班,2023/5/23,2023/6/26
112,190,10190A,A,1,普通小型車班,2023/6/9,2023/7/13
112,190,10190B,B,1,普通小型車班,2023/6/27,2023/7/31
112,191,10191A,A,1,普通小型車班,2023/7/14,2023/8/17
112,191,10191B,B,1,普通小型車班,2023/8/1,2023/9/4
112,192,10192A,A,1,普通小型車班,2023/8/18,2023/9/21
112,192,10192B,B,1,普通小型車班,2023/9/5,2023/10/9
112,193,10193A,A,1,普通小型車班,2023/9/22,2023/10/26
112,193,10193B,B,1,普通小型車班,2023/10/10,2023/11/13
112,194,10194A,A,1,普通小型車班,2023/10/27,2023/11/30
112,194,10194B,B,1,普通小型車班,2023/11/14,2023/12/18
112,195,10195A,A,1,普通小型車班,2023/12/1,2024/1/4
112,195,10195B,B,1,普通小型車班,2023/12/19,2024/1/22
113,196,10196A,A,1,普通小型車班,2024/1/5,2024/2/8
113,196,10196B,B,1,普通小型車班,2024/1/23,2024/2/26
113,197,10197A,A,1,普通小型車班,2024/2/9,2024/3/14
113,197,10197B,B,1,普通小型車班,2024/2/27,2024/4/1
113,198,10198A,A,1,普通小型車班,2024/3/15,2024/4/18
113,198,10198B,B,1,普通小型車班,2024/4/2,2024/5/6
113,199,10199A,A,1,普通小型車班,2024/4/19,2024/5/23
113,199,10199B,B,1,普通小型車班,2024/5/7,2024/6/10
113,200,10200A,A,1,普通小型車班,2024/5/24,2024/6/27
113,200,10200B,B,1,普通小型車班,2024/6/11,2024/7/15
113,201,10201A,A,1,普通小型車班,2024/6/28,2024/8/1
113,201,10201B,B,1,普通小型車班,2024/7/16,2024/8/19
113,202,10202A,A,1,普通小型車班,2024/8/2,2024/9/5
113,202,10202B,B,1,普通小型車班,2024/8/20,2024/9/23
113,203,10203A,A,1,普通小型車班,2024/9/6,2024/10/10
113,203,10203B,B,1,普通小型車班,2024/9/24,2024/10/28
113,204,10204A,A,1,普通小型車班,2024/10/11,2024/11/14
113,204,10204B,B,1,普通小型車班,2024/10/29,2024/12/2
113,205,10205A,A,1,普通小型車班,2024/11/15,2024/12/19
113,205,10205B,B,1,普通小型車班,2024/12/3,2025/1/6
113,206,10206A,A,1,普通小型車班,2024/12/20,2025/1/23
114,206,10206B,B,1,普通小型車班,2025/1/7,2025/2/10
114,207,10207A,A,1,普通小型車班,2025/1/24,2025/2/27
114,207,10207B,B,1,普通小型車班,2025/2/11,2025/3/17
114,208,10208A,A,1,普通小型車班,2025/2/28,2025/4/3
114,208,10208B,B,1,普通小型車班,2025/3/18,2025/4/21
114,209,10209A,A,1,普通小型車班,2025/4/4,2025/5/8
114,209,10209B,B,1,普通小型車班,2025/4/22,2025/5/26
114,210,10210A,A,1,普通小型車班,2025/5/9,2025/6/12
114,210,10210B,B,1,普通小型車班,2025/5/27,2025/6/30
114,211,10211A,A,1,普通小型車班,2025/6/13,2025/7/17
114,211,10211B,B,1,普通小型車班,2025/7/1,2025/8/4
114,212,10212A,A,1,普通小型車班,2025/7/18,2025/8/21
114,212,10212B,B,1,普通小型車班,2025/8/5,2025/9/8
114,213,10213A,A,1,普通小型車班,2025/8/22,2025/9/25
114,213,10213B,B,1,普通小型車班,2025/9/9,2025/10/13
114,214,10214A,A,1,普通小型車班,2025/9/26,2025/10/30
114,214,10214B,B,1,普通小型車班,2025/10/14,2025/11/17
114,215,10215A,A,1,普通小型車班,2025/10/31,2025/12/4
114,215,10215B,B,1,普通小型車班,2025/11/18,2025/12/22
114,216,10216A,A,1,普通小型車班,2025/12/5,2026/1/8
114,216,10216B,B,1,普通小型車班,2025/12/23,2026/1/26